,ICSA
2001-04-21,12.89921982609012
2001-04-28,12.91410843858387
2001-05-05,12.850554654108839
2001-05-12,12.873902018105829
2001-05-19,12.904207367601158
2001-05-26,12.911642346088676
2001-06-02,12.91410843858387
2001-06-09,12.926348493478372
2001-06-16,12.884106188280072
2001-06-23,12.850554654108839
2001-06-30,12.884106188280072
2001-07-07,12.901716706288706
2001-07-14,12.911642346088676
2001-07-21,12.894207284266574
2001-07-28,12.86876061860541
2001-08-04,12.901716706288706
2001-08-11,12.884106188280072
2001-08-18,12.904207367601158
2001-08-25,12.886641043883259
2001-09-01,12.904207367601158
2001-09-08,12.9190224533863
2001-09-15,12.886641043883259
2001-09-22,13.023647404465171
2001-09-29,13.155798153490567
2001-10-06,13.073173133213556
2001-10-13,13.085699393032737
2001-10-20,13.085699393032737
2001-10-27,13.087771932634709
2001-11-03,12.994530005894443
2001-11-10,12.966878474563934
2001-11-17,12.973863369085885
2001-11-24,13.104199406776658
2001-12-01,13.049792684569493
2001-12-08,12.881564890851399
2001-12-15,12.871334622600584
2001-12-22,12.9384405392434
2001-12-29,12.950388112664518
2002-01-05,12.891691559669328
2002-01-12,12.943236711506893
2002-01-19,12.911642346088676
2002-01-26,12.933621252807452
2002-02-02,12.909170156943286
2002-02-09,12.891691559669328
2002-02-16,12.891691559669328
2002-02-23,12.894207284266574
2002-03-02,12.8790171187726
2002-03-09,12.896716695872
2002-03-16,12.8790171187726
2002-03-23,12.936033799212835
2002-03-30,13.079455876393052
2002-04-06,13.005829561148378
2002-04-13,12.999065161059836
2002-04-20,12.9384405392434
2002-04-27,12.933621252807452
2002-05-04,12.921470435024938
2002-05-11,12.931202871943169
2002-05-18,12.926348493478372
2002-05-25,12.90669184092882
2002-06-01,12.842649474601725
2002-06-08,12.86876061860541
2002-06-15,12.889169490236618
2002-06-22,12.86876061860541
2002-06-29,12.863592648446968
2002-07-06,12.876462838967504
2002-07-13,12.858397831569864
2002-07-20,12.845291484064564
2002-07-27,12.873902018105829
2002-08-03,12.86876061860541
2002-08-10,12.871334622600584
2002-08-17,12.896716695872
2002-08-24,12.894207284266574
2002-08-31,12.884106188280072
2002-09-07,12.9384405392434
2002-09-14,12.928778628331663
2002-09-21,12.901716706288706
2002-09-28,12.921470435024938
2002-10-05,12.909170156943286
2002-10-12,12.911642346088676
2002-10-19,12.928778628331663
2002-10-26,12.921470435024938
2002-11-02,12.911642346088676
2002-11-09,12.89921982609012
2002-11-16,12.871334622600584
2002-11-23,12.873902018105829
2002-11-30,12.840000466430148
2002-12-07,12.959844447906553
2002-12-14,12.969212197910155
2002-12-21,12.884106188280072
2002-12-28,12.921470435024938
2003-01-04,12.881564890851399
2003-01-11,12.842649474601725
2003-01-18,12.904207367601158
2003-01-25,12.916568464424731
2003-02-01,12.931202871943169
2003-02-08,12.873902018105829
2003-02-15,12.948009990259552
2003-02-22,12.950388112664518
2003-03-01,12.985397522331171
2003-03-08,12.957488734214095
2003-03-15,12.971540487669746
2003-03-22,12.926348493478372
2003-03-29,12.985397522331171
2003-04-05,12.94084150078094
2003-04-12,12.980799813082541
2003-04-19,13.017002861746503
2003-04-26,13.003579841414362
2003-05-03,12.966878474563934
2003-05-10,12.94084150078094
2003-05-17,12.959844447906553
2003-05-24,12.945626198904275
2003-05-31,12.973863369085885
2003-06-07,12.969212197910155
2003-06-14,12.950388112664518
2003-06-21,12.9190224533863
2003-06-28,12.969212197910155
2003-07-05,12.978493006984626
2003-07-12,12.928778628331663
2003-07-19,12.90669184092882
2003-07-26,12.894207284266574
2003-08-02,12.901716706288706
2003-08-09,12.909170156943286
2003-08-16,12.894207284266574
2003-08-23,12.876462838967504
2003-08-30,12.916568464424731
2003-09-06,12.952760593018148
2003-09-13,12.884106188280072
2003-09-20,12.845291484064564
2003-09-27,12.866179972011919
2003-10-04,12.863592648446968
2003-10-11,12.837344422372032
2003-10-18,12.866179972011919
2003-10-25,12.845291484064564
2003-11-01,12.802158113246987
2003-11-08,12.823957341589573
2003-11-15,12.821258284620408
2003-11-22,12.777052192115912
2003-11-29,12.785491060761776
2003-12-06,12.813117127036707
2003-12-13,12.802158113246987
2003-12-20,12.777052192115912
2003-12-27,12.762827201184564
2004-01-03,12.782686009834167
2004-01-10,12.777052192115912
2004-01-17,12.799399490807907
2004-01-24,12.774223335915433
2004-01-31,12.837344422372032
2004-02-07,12.84792653170257
2004-02-14,12.782686009834167
2004-02-21,12.791077667470416
2004-02-28,12.759957758756611
2004-03-06,12.748396936355535
2004-03-13,12.730801174465157
2004-03-20,12.75419405403986
2004-03-27,12.736700896592344
2004-04-03,12.721885810807203
2004-04-10,12.779873068457553
2004-04-17,12.804909146618877
2004-04-24,12.733755386362587
2004-05-01,12.688498794774466
2004-05-08,12.70381302974751
2004-05-15,12.762827201184564
2004-05-22,12.742566016044742
2004-05-29,12.727838209334498
2004-06-05,12.779873068457553
2004-06-12,12.733755386362587
2004-06-19,12.777052192115912
2004-06-26,12.759957758756611
2004-07-03,12.694652660348845
2004-07-10,12.751299696013497
2004-07-17,12.779873068457553
2004-07-24,12.759957758756611
2004-07-31,12.739637756265655
2004-08-07,12.724866438945341
2004-08-14,12.712890247898626
2004-08-21,12.745485726148077
2004-08-28,12.771386454580234
2004-09-04,12.694652660348845
2004-09-11,12.7098736543592
2004-09-18,12.739637756265655
2004-09-25,12.768541502448002
2004-10-02,12.721885810807203
2004-10-09,12.730801174465157
2004-10-16,12.697715449879391
2004-10-23,12.730801174465157
2004-10-30,12.712890247898626
2004-11-06,12.706847933442663
2004-11-13,12.727838209334498
2004-11-20,12.65395846952229
2004-11-27,12.721885810807203
2004-12-04,12.745485726148077
2004-12-11,12.66349749256905
2004-12-18,12.682306824526545
2004-12-25,12.676076274775909
2005-01-01,12.782686009834167
2005-01-08,12.818551923022664
2005-01-15,12.712890247898626
2005-01-22,12.70381302974751
2005-01-29,12.7098736543592
2005-02-05,12.634603026569334
2005-02-12,12.637855061955712
2005-02-19,12.669806661762314
2005-02-26,12.65714826489039
2005-03-05,12.71589776896258
2005-03-12,12.688498794774466
2005-03-19,12.70381302974751
2005-03-26,12.742566016044742
2005-04-02,12.721885810807203
2005-04-09,12.685407602204794
2005-04-16,12.634603026569334
2005-04-23,12.666657052859417
2005-04-30,12.718896271958837
2005-05-07,12.697715449879391
2005-05-14,12.679196402112153
2005-05-21,12.676076274775909
2005-05-28,12.736700896592344
2005-06-04,12.730801174465157
2005-06-11,12.71589776896258
2005-06-18,12.679196402112153
2005-06-25,12.647548191161372
2005-07-02,12.697715449879391
2005-07-09,12.730801174465157
2005-07-16,12.685407602204794
2005-07-23,12.669806661762314
2005-07-30,12.66349749256905
2005-08-06,12.647548191161372
2005-08-13,12.672946381766982
2005-08-20,12.66032791780777
2005-08-27,12.669806661762314
2005-09-03,12.694652660348845
2005-09-10,12.952760593018148
2005-09-17,12.957488734214095
2005-09-24,12.791077667470416
2005-10-01,12.858397831569864
2005-10-08,12.855790268162783
2005-10-15,12.759957758756611
2005-10-22,12.688498794774466
2005-10-29,12.682306824526545
2005-11-05,12.691580461311874
2005-11-12,12.641096555879882
2005-11-19,12.688498794774466
2005-11-26,12.647548191161372
2005-12-03,12.679196402112153
2005-12-10,12.697715449879391
2005-12-17,12.65075846679162
2005-12-24,12.676076274775909
2005-12-31,12.618182296357007
2006-01-07,12.694652660348845
2006-01-14,12.560244459250788
2006-01-21,12.577636201962656
2006-01-28,12.54966234992025
2006-02-04,12.57418196709457
2006-02-11,12.604848765487542
2006-02-18,12.553202176625375
2006-02-25,12.587927887999204
2006-03-04,12.618182296357007
2006-03-11,12.634603026569334
2006-03-18,12.621488084491506
2006-03-25,12.594730635321957
2006-04-01,12.581078546153629
2006-04-08,12.608198852372823
2006-04-15,12.608198852372823
2006-04-22,12.637855061955712
2006-04-29,12.679196402112153
2006-05-06,12.757080058928997
2006-05-13,12.721885810807203
2006-05-20,12.672946381766982
2006-05-27,12.706847933442663
2006-06-03,12.634603026569334
2006-06-10,12.604848765487542
2006-06-17,12.637855061955712
2006-06-24,12.641096555879882
2006-07-01,12.66349749256905
2006-07-08,12.745485726148077
2006-07-15,12.669806661762314
2006-07-22,12.631340380934517
2006-07-29,12.647548191161372
2006-08-05,12.669806661762314
2006-08-12,12.644327576461329
2006-08-19,12.66032791780777
2006-08-26,12.65714826489039
2006-09-02,12.66032791780777
2006-09-09,12.65714826489039
2006-09-16,12.688498794774466
2006-09-23,12.672946381766982
2006-09-30,12.641096555879882
2006-10-07,12.66349749256905
2006-10-14,12.628067055589549
2006-10-21,12.65395846952229
2006-10-28,12.70076888736628
2006-11-04,12.672946381766982
2006-11-11,12.647548191161372
2006-11-18,12.694652660348845
2006-11-25,12.762827201184564
2006-12-02,12.697715449879391
2006-12-09,12.647548191161372
2006-12-16,12.669806661762314
2006-12-23,12.685407602204794
2006-12-30,12.739637756265655
2007-01-06,12.706847933442663
2007-01-13,12.598114733306197
2007-01-20,12.721885810807203
2007-01-27,12.637855061955712
2007-02-03,12.644327576461329
2007-02-10,12.730801174465157
2007-02-17,12.679196402112153
2007-02-24,12.682306824526545
2007-03-03,12.676076274775909
2007-03-10,12.637855061955712
2007-03-17,12.641096555879882
2007-03-24,12.621488084491506
2007-03-31,12.634603026569334
2007-04-07,12.712890247898626
2007-04-14,12.697715449879391
2007-04-21,12.679196402112153
2007-04-28,12.614865543731012
2007-05-05,12.611537753638338
2007-05-12,12.601487417784837
2007-05-19,12.644327576461329
2007-05-26,12.644327576461329
2007-06-02,12.65395846952229
2007-06-09,12.65395846952229
2007-06-16,12.676076274775909
2007-06-23,12.65395846952229
2007-06-30,12.666657052859417
2007-07-07,12.679196402112153
2007-07-14,12.666657052859417
